invoice_date,invoice_no,customer_id,gender,age,shopping_mall,category,quantity,price,payment_method,Sales amount
10-07-2022,I100008,C199951,Male,65,Emaar Square Mall,Clothing,5,1500.4,Cash,7502.0
18-06-2021,I100014,C138893,Male,55,Viaport Outlet,Cosmetics,5,203.3,Cash,1016.5
04-03-2021,I100015,C132779,Female,35,Mall of Istanbul,Clothing,2,600.16,Debit Card,1200.32
05-01-2023,I100024,C244411,Female,67,Emaar Square Mall,Books,3,45.45,Credit Card,136.35000000000002
18-05-2022,I100027,C150002,Female,19,Mall of Istanbul,Technology,4,4200.0,Cash,16800.0
19-06-2021,I100028,C325553,Female,18,Metrocity,Clothing,1,300.08,Credit Card,300.08
23-06-2022,I100031,C378408,Male,18,Emaar Square Mall,Food & Beverage,3,15.69,Credit Card,47.07
19-10-2021,I100033,C278721,Male,56,Zorlu Center,Food & Beverage,4,20.92,Credit Card,83.68
06-06-2021,I100037,C122873,Female,63,Kanyon,Clothing,1,300.08,Debit Card,300.08
24-07-2022,I100041,C326923,Female,50,Mall of Istanbul,Cosmetics,3,121.98,Cash,365.94
26-12-2021,I100049,C297871,Male,39,Mall of Istanbul,Shoes,1,600.17,Debit Card,600.17
02-01-2023,I100053,C217294,Female,21,Metrocity,Cosmetics,3,121.98,Credit Card,365.94
13-10-2021,I100057,C225062,Female,25,Forum Istanbul,Clothing,2,600.16,Credit Card,1200.32
14-06-2021,I100059,C292544,Female,52,Metrocity,Souvenir,3,35.19,Debit Card,105.57
13-08-2021,I100068,C647308,Female,52,Metropol AVM,Toys,2,71.68,Credit Card,143.36
16-10-2021,I100071,C522050,Female,30,Mall of Istanbul,Clothing,3,900.24,Cash,2700.7200000000003
10-08-2021,I100072,C143773,Male,64,Metropol AVM,Technology,5,5250.0,Debit Card,26250.0
03-02-2021,I100077,C356550,Male,46,Emaar Square Mall,Food & Beverage,1,5.23,Credit Card,5.23
10-07-2021,I100078,C272831,Male,46,Mall of Istanbul,Books,5,75.75,Credit Card,378.75
26-04-2022,I100080,C696236,Male,55,Metropol AVM,Toys,4,143.36,Credit Card,573.44
31-12-2021,I100082,C357288,Female,44,Cevahir AVM,Souvenir,2,23.46,Cash,46.92
09-10-2022,I100084,C226369,Female,68,Kanyon,Shoes,2,1200.34,Credit Card,2400.68
27-03-2022,I100089,C123196,Female,63,Emaar Square Mall,Clothing,5,1500.4,Cash,7502.0
17-04-2021,I100090,C801451,Female,27,Metrocity,Shoes,4,2400.68,Credit Card,9602.72
18-12-2021,I100094,C246470,Female,68,Metropol AVM,Toys,2,71.68,Cash,143.36
23-11-2021,I100095,C608046,Male,60,Istinye Park,Clothing,2,600.16,Cash,1200.32
24-08-2022,I100097,C673123,Female,63,Mall of Istanbul,Food & Beverage,4,20.92,Credit Card,83.68
16-11-2021,I100098,C228071,Male,49,Cevahir AVM,Clothing,5,1500.4,Cash,7502.0
15-04-2022,I100105,C246820,Male,39,Kanyon,Food & Beverage,4,20.92,Debit Card,83.68
12-09-2021,I100106,C850385,Male,36,Metropol AVM,Food & Beverage,2,10.46,Credit Card,20.92
06-08-2021,I100108,C331773,Female,45,Cevahir AVM,Books,4,60.6,Credit Card,242.4
13-09-2022,I100111,C314731,Female,46,Metrocity,Clothing,3,900.24,Debit Card,2700.7200000000003
31-01-2021,I100113,C136435,Male,48,Zorlu Center,Clothing,1,300.08,Credit Card,300.08
18-11-2022,I100116,C235320,Female,60,Metropol AVM,Cosmetics,3,121.98,Cash,365.94
26-03-2022,I100126,C103405,Male,31,Emaar Square Mall,Clothing,3,900.24,Credit Card,2700.7200000000003
16-11-2021,I100127,C708853,Male,38,Cevahir AVM,Clothing,2,600.16,Debit Card,1200.32
16-07-2022,I100128,C168282,Female,23,Istinye Park,Clothing,3,900.24,Credit Card,2700.7200000000003
16-05-2021,I100137,C233463,Male,35,Mall of Istanbul,Shoes,5,3000.85,Cash,15004.25
19-06-2021,I100138,C237364,Male,52,Mall of Istanbul,Clothing,2,600.16,Cash,1200.32
28-08-2021,I100142,C161659,Male,37,Metropol AVM,Clothing,4,1200.32,Debit Card,4801.28
10-12-2022,I100145,C153189,Female,20,Kanyon,Clothing,5,1500.4,Debit Card,7502.0
25-04-2022,I100146,C320745,Female,24,Emaar Square Mall,Shoes,4,2400.68,Credit Card,9602.72
16-04-2022,I100148,C200488,Male,52,Zorlu Center,Shoes,4,2400.68,Cash,9602.72
17-11-2021,I100149,C193896,Female,65,Mall of Istanbul,Food & Beverage,5,26.15,Cash,130.75
23-07-2021,I100151,C315218,Male,69,Kanyon,Clothing,2,600.16,Cash,1200.32
25-02-2021,I100152,C265676,Female,43,Mall of Istanbul,Shoes,5,3000.85,Credit Card,15004.25
29-06-2021,I100155,C312476,Female,30,Metropol AVM,Food & Beverage,4,20.92,Credit Card,83.68
25-01-2021,I100156,C462935,Female,69,Metropol AVM,Books,3,45.45,Credit Card,136.35000000000002
11-04-2021,I100161,C262871,Female,30,Kanyon,Clothing,1,300.08,Cash,300.08
15-11-2021,I100168,C135319,Male,43,Zorlu Center,Shoes,4,2400.68,Cash,9602.72
18-05-2021,I100173,C190374,Female,69,Metropol AVM,Food & Beverage,1,5.23,Cash,5.23
07-12-2021,I100174,C286570,Female,36,Mall of Istanbul,Clothing,1,300.08,Cash,300.08
18-04-2022,I100181,C123341,Female,33,Metrocity,Clothing,5,1500.4,Cash,7502.0
18-09-2022,I100184,C131276,Female,32,Kanyon,Cosmetics,2,81.32,Cash,162.64
30-01-2023,I100186,C222236,Male,62,Zorlu Center,Clothing,1,300.08,Debit Card,300.08
28-07-2021,I100187,C178869,Female,41,Metrocity,Food & Beverage,1,5.23,Credit Card,5.23
17-11-2021,I100192,C161234,Male,57,Mall of Istanbul,Clothing,1,300.08,Debit Card,300.08
26-02-2022,I100193,C149918,Male,34,Istinye Park,Clothing,1,300.08,Debit Card,300.08
20-12-2022,I100195,C322199,Female,34,Mall of Istanbul,Food & Beverage,5,26.15,Debit Card,130.75
18-07-2021,I100198,C136883,Female,58,Cevahir AVM,Cosmetics,5,203.3,Credit Card,1016.5
25-02-2022,I100199,C275614,Female,31,Istinye Park,Books,5,75.75,Cash,378.75
28-07-2021,I100200,C948033,Male,24,Metrocity,Toys,4,143.36,Cash,573.44
20-03-2021,I100201,C982027,Male,57,Istinye Park,Souvenir,5,58.65,Cash,293.25
20-11-2022,I100202,C182496,Male,45,Kanyon,Food & Beverage,4,20.92,Credit Card,83.68
26-06-2021,I100205,C220151,Male,32,Istinye Park,Clothing,5,1500.4,Credit Card,7502.0
19-04-2021,I100207,C452901,Male,22,Metrocity,Clothing,4,1200.32,Credit Card,4801.28
