invoice_date,invoice_no,customer_id,gender,age,shopping_mall,category,quantity,price,payment_method,Sales amount
20-02-2021,I324055,C235038,Female,20,Metrocity,Clothing,4,1200.32,Credit Card,4801.28
17-05-2021,I324056,C110262,Female,62,Metrocity,Clothing,2,600.16,Debit Card,1200.32
26-07-2021,I324060,C182501,Male,28,Mall of Istanbul,Clothing,2,600.16,Credit Card,1200.32
13-06-2022,I324066,C734516,Male,41,Istinye Park,Clothing,5,1500.4,Credit Card,7502.0
27-11-2021,I324067,C246958,Male,25,Kanyon,Clothing,1,300.08,Credit Card,300.08
24-02-2022,I324068,C218566,Female,21,Viaport Outlet,Clothing,4,1200.32,Credit Card,4801.28
07-04-2021,I324069,C786749,Male,24,Kanyon,Clothing,2,600.16,Credit Card,1200.32
26-02-2023,I324083,C701003,Female,67,Kanyon,Clothing,5,1500.4,Credit Card,7502.0
21-11-2022,I324085,C313924,Female,30,Metrocity,Cosmetics,4,162.64,Debit Card,650.56
05-05-2021,I324086,C170906,Male,67,Istinye Park,Shoes,1,600.17,Credit Card,600.17
11-12-2022,I324089,C784419,Female,63,Metrocity,Clothing,1,300.08,Cash,300.08
16-05-2022,I324094,C778404,Female,50,Forum Istanbul,Technology,5,5250.0,Credit Card,26250.0
29-09-2022,I324097,C252676,Male,58,Cevahir AVM,Cosmetics,5,203.3,Credit Card,1016.5
31-01-2021,I324106,C197866,Male,21,Cevahir AVM,Cosmetics,4,162.64,Cash,650.56
23-01-2022,I324107,C310475,Male,37,Mall of Istanbul,Clothing,3,900.24,Cash,2700.7200000000003
10-04-2022,I324110,C289412,Male,38,Mall of Istanbul,Shoes,3,1800.51,Cash,5401.53
28-01-2022,I324115,C248905,Female,67,Istinye Park,Clothing,5,1500.4,Debit Card,7502.0
03-02-2022,I324122,C125101,Male,18,Metropol AVM,Food & Beverage,3,15.69,Cash,47.07
25-09-2021,I324127,C112433,Female,42,Metrocity,Toys,1,35.84,Credit Card,35.84
18-01-2021,I324128,C357108,Female,65,Emaar Square Mall,Clothing,2,600.16,Credit Card,1200.32
18-05-2022,I324132,C251519,Male,67,Kanyon,Cosmetics,3,121.98,Debit Card,365.94
25-03-2022,I324134,C110887,Male,43,Istinye Park,Food & Beverage,3,15.69,Credit Card,47.07
03-01-2023,I324135,C295545,Female,64,Mall of Istanbul,Clothing,3,900.24,Credit Card,2700.7200000000003
26-08-2021,I324136,C464765,Male,39,Mall of Istanbul,Clothing,5,1500.4,Credit Card,7502.0
14-09-2022,I324139,C260591,Female,23,Kanyon,Clothing,3,900.24,Credit Card,2700.7200000000003
04-05-2022,I324141,C207429,Female,30,Kanyon,Toys,5,179.2,Cash,896.0
27-11-2021,I324145,C201559,Male,22,Istinye Park,Clothing,2,600.16,Credit Card,1200.32
24-07-2022,I324146,C282873,Male,35,Viaport Outlet,Toys,1,35.84,Cash,35.84
28-01-2023,I324152,C225611,Female,59,Kanyon,Souvenir,1,11.73,Credit Card,11.73
28-08-2021,I324154,C316500,Male,48,Mall of Istanbul,Cosmetics,2,81.32,Cash,162.64
03-10-2022,I324160,C143260,Male,66,Mall of Istanbul,Books,4,60.6,Cash,242.4
30-08-2021,I324165,C203264,Female,51,Mall of Istanbul,Clothing,3,900.24,Cash,2700.7200000000003
10-01-2022,I324166,C173356,Female,42,Istinye Park,Clothing,2,600.16,Cash,1200.32
25-10-2021,I324168,C316210,Female,63,Metropol AVM,Clothing,1,300.08,Cash,300.08
02-12-2021,I324180,C799932,Female,37,Emaar Square Mall,Toys,3,107.52,Credit Card,322.56
